"Author","Article","weight"
"113378","920866",1
"113378","920879",1
"113378","920882",1
"113378","920900",1
"113378","920902",1
"113378","920943",1
"1134038","1451646",1
"1134540","1625773",1
"1134783","1702463",1
"1135869","1551652",1
"1136413","1288810",1
"1136413","1292110",1
"1137098","1452074",2
"113731","1578850",1
"113741","1317086",2
"1138325","1286525",1
"113890","1542897",1
"1138992","1287241",1
"1138992","1368398",1
"1139352","1287161",1
"1139354","1287203",1
"113949","978773",1
"1139549","1594222",1
"1139549","1594260",1
"1139549","1594269",1
"1139682","1580433",1
"1140053","1302488",2
"1140715","1537782",1
"1140918","1483790",2
"114295","1572438",1
"114295","1572464",1
"114295","1572478",1
"114295","1572492",1
"114295","1572533",1
"114295","1572539",1
"114299","1682133",1
"1145517","1683523",2
"1145588","1578668",1
"1145772","1572113",1
"1146543","1292594",1
"1146737","1331317",1
"1147116","1292357",1
"1147339","1293288",1
"1147339","1565967",1
"114791","1343988",1
"114791","1344029",1
"114791","1344069",3
"114791","1344086",3
"1147966","1450512",1
"1147966","1644732",1
"114994","1006805",1
"114994","1092933",1
"114994","1148682",2
"114994","1245270",2
"114994","1347949",3
"114994","1625773",1
"114994","976864",2
"114994","986191",1
"1150207","1650359",1
"115032","1396754",2
"1151009","1293288",2
"115127","1691235",1
"1151770","1306733",2
"1152704","1436501",1
"115273","1507930",1
"1153485","1299204",1
"1154340","1301766",1
"1154340","1515864",1
"1154409","1299987",1
"1154409","1299991",5
"1154409","1300028",1
"1154526","1311532",1
"1154649","1300174",1
"1155385","1298601",1
"1155790","1265529",1
"1155790","1270637",1
"1155790","1332403",1
"115633","1312941",1
"1156884","1301902",1
"1156884","1303015",3
"1156884","1303247",1
"1156884","1303250",1
"1157250","1592584",1
"1157250","1616918",1
"1157250","1658829",1
"1157500","1565309",1
"1157605","1599420",1
"115785","1591963",1
"1158949","1303514",1
"1158955","1303514",1
"1159094","1396754",2
"1159094","1616237",5
"1159094","1616255",6
"1159094","1676414",2
"1159094","1677965",2
"1159924","1299727",1
"1160013","1552096",1
"116066","1298603",1
"116077","1292357",1
"116077","1444919",1
"116077","1567618",1
"116092","918042",1
"1161182","1134123",2
"116149","918042",1
"1161661","1360981",1
"116192","1475042",2
"116288","1153143",1
"1163687","1576108",1
"1164231","1372214",1
"1164768","1331317",1
"1164768","1345353",2
"1164768","1372214",1
"1164832","1307808",1
"1164837","1307808",1
"1165064","1308262",1
"1165064","1308290",1
"1165064","1391725",1
"1165064","1462518",1
"1165064","1486224",1
"1165064","1493509",1
"1165064","1510469",1
"1165064","1521142",1
"1165064","1522457",1
"1165064","1536195",1
"1165064","1570171",1
"1165064","1576664",2
"1165064","1589021",1
"1165064","1595381",1
"1165064","1621079",1
"1165064","1649014",1
"1165064","1689722",1
"1165064","1722268",1
"1165301","1308168",1
"1165303","1308168",1
"1165507","1308289",1
"1165507","1596774",1
"1165735","1308454",1
"1166502","1308985",1
"1167774","1309885",1
"1168349","1508841",1
"1169802","1550593",1
"1170942","1708485",1
"1173239","1623451",1
"1173239","1623464",1
"1173239","1623469",1
"1173239","1623470",1
"1173239","1623472",1
"1173239","1623474",1
"1173239","1623481",1
"1173239","1623509",1
"1173239","1623513",1
"1173546","1611673",1
"1173546","1611719",1
"1173546","1611724",1
"1173546","1611740",1
"1173546","1641604",1
"1173546","1641605",1
"1173546","1647361",1
"1173546","1647362",1
"1173546","1666871",1
"1173546","1666882",1
"1173546","1666892",1
"1173546","1708485",1
"1174048","1480291",1
"1174834","1578567",1
"1175097","1572441",1
"1175097","1582359",1
"1175609","1475042",1
"1175790","1298646",1
"1175799","1298617",1
"1175810","1298601",1
"1175820","1298574",1
"1175831","1298492",1
"1175832","1298492",1
"1175834","1298492",1
"1175961","1369831",1
"1176241","1580316",1
"1177327","1591806",1
"1178210","1684382",1
"1178515","1398047",1
"1178515","1398069",1
"1178515","1515466",1
"1178828","1317155",1
"117913","1561229",1
"117913","1574342",1
"117913","1579705",1
"117913","1583985",1
"117913","1616255",1
"117913","1625829",1
"1180121","1319402",1
"1180447","1650605",1
"1180712","1574342",1
"1180712","1583985",1
"1180994","1575357",1
"1180994","1575359",1
"1180994","1575368",1
"1180994","1575382",1
"1180994","1575383",1
"1181005","1596025",1
"1181989","1305967",1
"1182152","1565308",1
"1182298","1671677",1
"118240","1724726",1
"118240","1724817",1
"118240","1725551",1
"118240","1726078",1
"118240","1726442",1
"118240","1727699",1
"118240","1728960",1
"118240","1728961",1
"118240","1728974",1
"1183209","1513737",1
"1183289","1322066",1
"1183290","1322066",1
"1183297","1319835",1
"1183298","1319835",1
"118528","1332403",1
